match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,player_of_match,umpire1,umpire2,tv_umpire,match_referee
1211651,2020,28/02/2020,Multan,"Multan Cricket Stadium, Multan",Multan Sultans,Karachi Kings,Karachi Kings,field,Multan Sultans,runs,52,MM Ali,Shozab Raza,Faisal Afridi,Asif Yaqoob,Muhammad Javed
1211652,2020,28/02/2020,Rawalpindi,"Pindi Cricket Stadium, Rawalpindi",Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,field,Peshawar Zalmi,runs,16,L Gregory,REJ Martinesz,Tariq Rasheed,Rashid Riaz,
1211653,2020,29/02/2020,Multan,"Multan Cricket Stadium, Multan",Multan Sultans,Quetta Gladiators,Multan Sultans,bat,Multan Sultans,runs,30,RR Rossouw,Asif Yaqoob,Faisal Afridi,Shozab Raza,Muhammad Javed
1211655,2020,01/03/2020,Rawalpindi,"Pindi Cricket Stadium, Rawalpindi",Islamabad United,Karachi Kings,Karachi Kings,field,Karachi Kings,wickets,5,AD Hales,REJ Martinesz,Tariq Rasheed,Rashid Riaz,Mohammed Anees
1211656,2020,02/03/2020,Rawalpindi,"Pindi Cricket Stadium, Rawalpindi",Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Karachi Kings,wickets,6,Mohammad Amir,REJ Martinesz,Tariq Rasheed,Rashid Riaz,RS Mahanama
1211657,2020,03/03/2020,Lahore,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,runs,37,BR Dunk,Shozab Raza,Faisal Afridi,Asif Yaqoob,Mohammed Anees
1211658,2020,04/03/2020,Lahore,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United,Lahore Qalandars,field,Islamabad United,runs,71,C Munro,Asif Yaqoob,Shozab Raza,Faisal Afridi,Aziz-ur-Rehman
1211659,2020,05/03/2020,Rawalpindi,"Pindi Cricket Stadium, Rawalpindi",Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,runs,30,Shoaib Malik,REJ Martinesz,Tariq Rasheed,Rashid Riaz,RS Mahanama
1211660,2020,06/03/2020,Lahore,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans,Karachi Kings,field,No Result,,0,,Shozab Raza,MA Gough,Asif Yaqoob,Aziz-ur-Rehman
1211661,2020,07/03/2020,Rawalpindi,"Pindi Cricket Stadium, Rawalpindi",Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,runs,7,Shadab Khan,Tariq Rasheed,Rashid Riaz,REJ Martinesz,RS Mahanama
1211662,2020,07/03/2020,Lahore,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Lahore Qalandars,wickets,8,SR Patel,Asif Yaqoob,MA Gough,Shozab Raza,Aziz-ur-Rehman
1211663,2020,08/03/2020,Rawalpindi,"Pindi Cricket Stadium, Rawalpindi",Islamabad United,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,9,JM Vince,REJ Martinesz,Tariq Rasheed,Rashid Riaz,RS Mahanama
1211664,2020,08/03/2020,Lahore,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings,Lahore Qalandars,field,Lahore Qalandars,wickets,8,BR Dunk,Shozab Raza,MA Gough,Asif Yaqoob,Mohammed Anees
1211665,2020,10/03/2020,Lahore,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,field,Lahore Qalandars,wickets,5,Fakhar Zaman,MA Gough,Aleem Dar,Asif Yaqoob,
1211667,2020,12/03/2020,Karachi,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars,Karachi Kings,field,Karachi Kings,wickets,10,Sharjeel Khan,MA Gough,Ahsan Raza,Rashid Riaz,RS Mahanama
